file_path,thumbnail,width,height,page_no,set_key,year
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i01-p0001.jpg,781,2048,1,dra037-s01-b001-f018-i01,1954
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i01-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i01-p0002.jpg,1073,2048,2,dra037-s01-b001-f018-i01,1969
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i10-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i10-p0001.jpg,1319,2048,1,dra037-s01-b001-f018-i10,1979
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i10-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i10-p0002.jpg,2048,1565,2,dra037-s01-b001-f018-i10,1979
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i10-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i10-p0003.jpg,1357,2048,3,dra037-s01-b001-f018-i10,1952
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i02-p0001.jpg,1375,2048,1,dra037-s01-b001-f018-i02,1920
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i02-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i02-p0002.jpg,2048,1512,2,dra037-s01-b001-f018-i02,1973
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i02-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i02-p0003.jpg,2048,1522,3,dra037-s01-b001-f018-i02,1941
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i02-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i02-p0004.jpg,2048,1519,4,dra037-s01-b001-f018-i02,1970
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i02-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i02-p0005.jpg,2048,1520,5,dra037-s01-b001-f018-i02,1938
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i02-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i02-p0006.jpg,2048,1524,6,dra037-s01-b001-f018-i02,1936
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i02-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i02-p0007.jpg,2048,1514,7,dra037-s01-b001-f018-i02,1916
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i02-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i02-p0008.jpg,2048,1550,8,dra037-s01-b001-f018-i02,1927
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i02-p0009.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i02-p0009.jpg,1253,2048,9,dra037-s01-b001-f018-i02,1922
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i03-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i03-p0001.jpg,1374,2048,1,dra037-s01-b001-f018-i03,1924
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i03-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i03-p0002.jpg,2048,1519,2,dra037-s01-b001-f018-i03,1922
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i03-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i03-p0003.jpg,2048,1535,3,dra037-s01-b001-f018-i03,1967
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i03-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i03-p0004.jpg,2048,1522,4,dra037-s01-b001-f018-i03,1976
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i03-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i03-p0005.jpg,2048,1507,5,dra037-s01-b001-f018-i03,1918
