file_path,thumbnail,width,height,page_no,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f020-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f020-i01-p0001.jpg,1388,2048,1,dra037-s01-b001-f020-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f020-i01-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f020-i01-p0002.jpg,2048,1513,2,dra037-s01-b001-f020-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f020-i01-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f020-i01-p0003.jpg,2048,1525,3,dra037-s01-b001-f020-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f020-i01-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f020-i01-p0004.jpg,2048,1525,4,dra037-s01-b001-f020-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f020-i01-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f020-i01-p0005.jpg,2048,1525,5,dra037-s01-b001-f020-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f020-i01-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f020-i01-p0006.jpg,2048,1525,6,dra037-s01-b001-f020-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f020-i01-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f020-i01-p0007.jpg,2048,1525,7,dra037-s01-b001-f020-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f020-i01-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f020-i01-p0008.jpg,2048,1525,8,dra037-s01-b001-f020-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f020-i10-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f020-i10-p0001.jpg,1591,2048,1,dra037-s01-b001-f020-i10
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f020-i11-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f020-i11-p0001.jpg,1363,2048,1,dra037-s01-b001-f020-i11
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f020-i11-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f020-i11-p0002.jpg,2048,1541,2,dra037-s01-b001-f020-i11
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f020-i11-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f020-i11-p0003.jpg,2048,1541,3,dra037-s01-b001-f020-i11
