file_path,thumbnail,width,height,page_no,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i01-p0001.jpg,1327,2048,1,dra037-s01-b001-f013-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i01-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i01-p0002.jpg,2048,1048,2,dra037-s01-b001-f013-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i01-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i01-p0003.jpg,2048,1576,3,dra037-s01-b001-f013-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i10-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i10-p0001.jpg,1325,2048,1,dra037-s01-b001-f013-i10
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i10-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i10-p0002.jpg,2048,1645,2,dra037-s01-b001-f013-i10
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i10-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i10-p0003.jpg,1265,2048,3,dra037-s01-b001-f013-i10
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i11-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i11-p0001.jpg,1308,2048,1,dra037-s01-b001-f013-i11
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i11-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i11-p0002.jpg,2048,1619,2,dra037-s01-b001-f013-i11
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i11-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i11-p0003.jpg,1306,2048,3,dra037-s01-b001-f013-i11
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i12-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i12-p0001.jpg,1142,2048,1,dra037-s01-b001-f013-i12
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i12-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i12-p0002.jpg,2048,909,2,dra037-s01-b001-f013-i12
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i12-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i12-p0003.jpg,2048,1821,3,dra037-s01-b001-f013-i12
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i13-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i13-p0001.jpg,1412,2048,1,dra037-s01-b001-f013-i13
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i13-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i13-p0002.jpg,2048,1550,2,dra037-s01-b001-f013-i13
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i13-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i13-p0003.jpg,1399,2048,3,dra037-s01-b001-f013-i13
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i02-p0001.jpg,1341,2048,1,dra037-s01-b001-f013-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i02-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i02-p0002.jpg,2048,1538,2,dra037-s01-b001-f013-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i02-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i02-p0003.jpg,1343,2048,3,dra037-s01-b001-f013-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i03-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i03-p0001.jpg,1356,2048,1,dra037-s01-b001-f013-i03
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i03-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i03-p0002.jpg,2048,1537,2,dra037-s01-b001-f013-i03
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i04-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i04-p0001.jpg,864,2048,1,dra037-s01-b001-f013-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i05-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i05-p0001.jpg,1279,2048,1,dra037-s01-b001-f013-i05
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i05-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i05-p0002.jpg,2048,1643,2,dra037-s01-b001-f013-i05
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i05-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i05-p0003.jpg,1278,2048,3,dra037-s01-b001-f013-i05
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i06-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i06-p0001.jpg,1033,2048,1,dra037-s01-b001-f013-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i07-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i07-p0001.jpg,975,2048,1,dra037-s01-b001-f013-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i08-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i08-p0001.jpg,1379,2048,1,dra037-s01-b001-f013-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i09-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i09-p0001.jpg,1327,2048,1,dra037-s01-b001-f013-i09
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i09-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i09-p0002.jpg,2048,1583,2,dra037-s01-b001-f013-i09
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f013-i09-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f013-i09-p0003.jpg,1335,2048,3,dra037-s01-b001-f013-i09
