file_path,thumbnail,width,height,page_no,set_key,year,written_by,director,location,group_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f010-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f010-i01-p0001.jpg,1579,2048,1,dra037-s01-b001-f010-i01,1933,,,,allardyce_nicoll
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f010-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f010-i02-p0001.jpg,1348,2048,1,dra037-s01-b001-f010-i02,1933,"Otway, Thomas",Alexander Dean,"Yale School of Drama, Yale Repertory Theatre",allardyce_nicoll
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f010-i02-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f010-i02-p0002.jpg,2048,1547,2,dra037-s01-b001-f010-i02,1933,"Otway, Thomas",Alexander Dean,"Yale School of Drama, Yale Repertory Theatre",allardyce_nicoll
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f010-i02-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f010-i02-p0003.jpg,1336,2048,3,dra037-s01-b001-f010-i02,1933,"Otway, Thomas",Alexander Dean,"Yale School of Drama, Yale Repertory Theatre",allardyce_nicoll
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f016-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f016-i02-p0001.jpg,662,2048,1,dra037-s01-b001-f016-i02,1946,William Shakespeare,Frank McMullan,"Yale School of Drama, Yale Repertory Theatre",allardyce_nicoll
