file_path,thumbnail,page_no,set_key,year,written_by,director,location,group_key
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b004-f053-i01-p0001.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b004-f053-i01-p0001.jpg,1,dra037-s01-b004-f053-i01,1966,"Beckett, Samuel","Gregory, Andre",Yale Repertory Theatre,robert_brustein
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b004-f053-i01-p0002.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b004-f053-i01-p0002.jpg,2,dra037-s01-b004-f053-i01,1966,"Beckett, Samuel","Gregory, Andre",Yale Repertory Theatre,robert_brustein
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b004-f053-i01-p0003.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b004-f053-i01-p0003.jpg,3,dra037-s01-b004-f053-i01,1966,"Beckett, Samuel","Gregory, Andre",Yale Repertory Theatre,robert_brustein
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b004-f053-i01-p0004.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b004-f053-i01-p0004.jpg,4,dra037-s01-b004-f053-i01,1966,"Beckett, Samuel","Gregory, Andre",Yale Repertory Theatre,robert_brustein
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b004-f053-i02-p0001.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b004-f053-i02-p0001.jpg,1,dra037-s01-b004-f053-i02,1966,"Terry, Megan","Terry, Megan",Yale Repertory Theatre,robert_brustein
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b004-f053-i02-p0002.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b004-f053-i02-p0002.jpg,2,dra037-s01-b004-f053-i02,1966,"Terry, Megan","Terry, Megan",Yale Repertory Theatre,robert_brustein
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b004-f053-i02-p0003.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b004-f053-i02-p0003.jpg,3,dra037-s01-b004-f053-i02,1966,"Terry, Megan","Terry, Megan",Yale Repertory Theatre,robert_brustein
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b004-f053-i02-p0004.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b004-f053-i02-p0004.jpg,4,dra037-s01-b004-f053-i02,1966,"Terry, Megan","Terry, Megan",Yale Repertory Theatre,robert_brustein
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b004-f053-i02-p0005.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b004-f053-i02-p0005.jpg,5,dra037-s01-b004-f053-i02,1966,"Terry, Megan","Terry, Megan",Yale Repertory Theatre,robert_brustein
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b004-f053-i02-p0006.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b004-f053-i02-p0006.jpg,6,dra037-s01-b004-f053-i02,1966,"Terry, Megan","Terry, Megan",Yale Repertory Theatre,robert_brustein
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b004-f053-i02-p0007.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b004-f053-i02-p0007.jpg,7,dra037-s01-b004-f053-i02,1966,"Terry, Megan","Terry, Megan",Yale Repertory Theatre,robert_brustein
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b004-f053-i02-p0008.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b004-f053-i02-p0008.jpg,8,dra037-s01-b004-f053-i02,1966,"Terry, Megan","Terry, Megan",Yale Repertory Theatre,robert_brustein
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b004-f053-i02-p0009.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b004-f053-i02-p0009.jpg,9,dra037-s01-b004-f053-i02,1966,"Terry, Megan","Terry, Megan",Yale Repertory Theatre,robert_brustein
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b004-f053-i02-p0010.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b004-f053-i02-p0010.jpg,10,dra037-s01-b004-f053-i02,1966,"Terry, Megan","Terry, Megan",Yale Repertory Theatre,robert_brustein
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b004-f053-i02-p0011.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b004-f053-i02-p0011.jpg,11,dra037-s01-b004-f053-i02,1966,"Terry, Megan","Terry, Megan",Yale Repertory Theatre,robert_brustein
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b004-f053-i03-p0001.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b004-f053-i03-p0001.jpg,1,dra037-s01-b004-f053-i03,1966,"Pinter, Harold","Dickason, Christie",Yale School of Drama,robert_brustein
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b004-f053-i03-p0002.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b004-f053-i03-p0002.jpg,2,dra037-s01-b004-f053-i03,1966,"Pinter, Harold","Dickason, Christie",Yale School of Drama,robert_brustein
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b004-f053-i03-p0003.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b004-f053-i03-p0003.jpg,3,dra037-s01-b004-f053-i03,1966,"Pinter, Harold","Dickason, Christie",Yale School of Drama,robert_brustein
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b004-f053-i03-p0004.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b004-f053-i03-p0004.jpg,4,dra037-s01-b004-f053-i03,1966,"Pinter, Harold","Dickason, Christie",Yale School of Drama,robert_brustein
https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-images-revised/dra037-s01-b004-f053-i04-p0001.jpg,https://s3-us-west-2.amazonaws.com/lab-apps/ensemble-at-yale/page-thumbs-revised/dra037-s01-b004-f053-i04-p0001.jpg,1,dra037-s01-b004-f053-i04,1966,"Weinstein, Arnold","Sills, Paul",Yale Repertory Theatre,robert_brustein
