file_path,thumbnail,width,height,page_no,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f015-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f015-i01-p0001.jpg,935,2048,1,dra037-s01-b001-f015-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f015-i10-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f015-i10-p0001.jpg,687,2048,1,dra037-s01-b001-f015-i10
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f015-i11-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f015-i11-p0001.jpg,2048,1211,1,dra037-s01-b001-f015-i11
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f015-i12-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f015-i12-p0001.jpg,770,2048,1,dra037-s01-b001-f015-i12
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f015-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f015-i02-p0001.jpg,1589,2048,1,dra037-s01-b001-f015-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f015-i03-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f015-i03-p0001.jpg,1159,2048,1,dra037-s01-b001-f015-i03
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f015-i03-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f015-i03-p0002.jpg,1175,2048,2,dra037-s01-b001-f015-i03
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f015-i04-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f015-i04-p0001.jpg,513,2048,1,dra037-s01-b001-f015-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f015-i05-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f015-i05-p0001.jpg,1004,2048,1,dra037-s01-b001-f015-i05
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f015-i06-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f015-i06-p0001.jpg,1370,2048,1,dra037-s01-b001-f015-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f015-i06-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f015-i06-p0002.jpg,2048,1542,2,dra037-s01-b001-f015-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f015-i06-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f015-i06-p0003.jpg,1360,2048,3,dra037-s01-b001-f015-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f015-i07-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f015-i07-p0001.jpg,597,2048,1,dra037-s01-b001-f015-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f015-i08-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f015-i08-p0001.jpg,671,2048,1,dra037-s01-b001-f015-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f015-i09-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f015-i09-p0001.jpg,1320,2048,1,dra037-s01-b001-f015-i09
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f015-i09-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f015-i09-p0002.jpg,2048,1586,2,dra037-s01-b001-f015-i09
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f015-i09-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f015-i09-p0003.jpg,1319,2048,3,dra037-s01-b001-f015-i09
