file_path,thumbnail,width,height,page_no,set_key,year
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i01-p0001.jpg,1584,2048,1,dra037-s01-b002-f028-i01,1914
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i02-p0001.jpg,1359,2048,1,dra037-s01-b002-f028-i02,1987
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i02-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i02-p0002.jpg,2048,1556,2,dra037-s01-b002-f028-i02,1933
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i02-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i02-p0003.jpg,2048,1556,3,dra037-s01-b002-f028-i02,1971
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i02-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i02-p0004.jpg,2048,1556,4,dra037-s01-b002-f028-i02,1990
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i02-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i02-p0005.jpg,2048,1556,5,dra037-s01-b002-f028-i02,1926
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i02-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i02-p0006.jpg,2048,1556,6,dra037-s01-b002-f028-i02,1957
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i02-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i02-p0007.jpg,2048,1556,7,dra037-s01-b002-f028-i02,1927
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i02-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i02-p0008.jpg,2048,1556,8,dra037-s01-b002-f028-i02,1969
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i02-p0009.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i02-p0009.jpg,2048,1544,9,dra037-s01-b002-f028-i02,1948
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i02-p0010.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i02-p0010.jpg,2048,1544,10,dra037-s01-b002-f028-i02,1972
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i02-p0011.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i02-p0011.jpg,2048,1544,11,dra037-s01-b002-f028-i02,1997
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i02-p0012.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i02-p0012.jpg,2048,1544,12,dra037-s01-b002-f028-i02,1945
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i03-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i03-p0001.jpg,1577,2048,1,dra037-s01-b002-f028-i03,1962
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i03-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i03-p0002.jpg,1571,2048,2,dra037-s01-b002-f028-i03,1911
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i04-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i04-p0001.jpg,1593,2048,1,dra037-s01-b002-f028-i04,1986
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i05-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i05-p0001.jpg,1353,2048,1,dra037-s01-b002-f028-i05,1923
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i05-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i05-p0002.jpg,2048,1536,2,dra037-s01-b002-f028-i05,1969
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i05-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i05-p0003.jpg,2048,1536,3,dra037-s01-b002-f028-i05,1981
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i05-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i05-p0004.jpg,2048,1536,4,dra037-s01-b002-f028-i05,1962
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i05-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i05-p0005.jpg,2048,1536,5,dra037-s01-b002-f028-i05,1949
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i05-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i05-p0006.jpg,2048,1536,6,dra037-s01-b002-f028-i05,1948
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i05-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i05-p0007.jpg,2048,1530,7,dra037-s01-b002-f028-i05,1992
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i05-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i05-p0008.jpg,2048,1536,8,dra037-s01-b002-f028-i05,1940
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i05-p0009.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i05-p0009.jpg,2048,1536,9,dra037-s01-b002-f028-i05,1939
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f028-i05-p0010.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f028-i05-p0010.jpg,2048,1536,10,dra037-s01-b002-f028-i05,1983
