file_path,thumbnail,width,height,page_no,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f055-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f055-i01-p0001.jpg,1360,2048,1,dra037-s01-b004-f055-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f055-i01-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f055-i01-p0002.jpg,2048,1842,2,dra037-s01-b004-f055-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f055-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f055-i02-p0001.jpg,1344,2048,1,dra037-s01-b004-f055-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f055-i02-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f055-i02-p0002.jpg,2048,1853,2,dra037-s01-b004-f055-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f055-i02-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f055-i02-p0003.jpg,1355,2048,3,dra037-s01-b004-f055-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f055-i03-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f055-i03-p0001.jpg,1355,2048,1,dra037-s01-b004-f055-i03
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f055-i03-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f055-i03-p0002.jpg,2048,1829,2,dra037-s01-b004-f055-i03
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f055-i03-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f055-i03-p0003.jpg,1371,2048,3,dra037-s01-b004-f055-i03
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f055-i04-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f055-i04-p0001.jpg,1371,2048,1,dra037-s01-b004-f055-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f055-i04-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f055-i04-p0002.jpg,2048,1838,2,dra037-s01-b004-f055-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f055-i04-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f055-i04-p0003.jpg,1377,2048,3,dra037-s01-b004-f055-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f056-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f056-i01-p0001.jpg,1357,2048,1,dra037-s01-b004-f056-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f056-i01-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f056-i01-p0002.jpg,2048,1818,2,dra037-s01-b004-f056-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f056-i01-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f056-i01-p0003.jpg,1357,2048,3,dra037-s01-b004-f056-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f056-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f056-i02-p0001.jpg,1622,2048,1,dra037-s01-b004-f056-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f056-i03-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f056-i03-p0001.jpg,1371,2048,1,dra037-s01-b004-f056-i03
