Box,Folder,item,accession number,Title,Play dates,Year,Written by,Director,Location,Notes,Multiplay,Non-Theatrical,era,era,height,width
1,4,2,dra037-s01-b001-f004-i02-p0003,Pueblo,Dec. 13-14,1927,"""Littleton, Covington""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1329
1,4,4,dra037-s01-b001-f004-i04-p0001,Finished,Feb. 13-14,1928,"""Clugston, Katharine""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1330
1,4,4,dra037-s01-b001-f004-i04-p0002,Finished,Feb. 13-14,1928,"""Clugston, Katharine""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,1571,2048
1,4,5,dra037-s01-b001-f004-i05-p0001,Pueblo,Feb. 29-Mar. 1,1928,"""Littleton, Covington""",,"""Yale  School of Drama, Yale Repertory Theatre""","""Performance also Feb. 22, 1928""",,,,department_of_drama,2048,1244
1,4,5,dra037-s01-b001-f004-i05-p0002,Pueblo,Feb. 29-Mar. 1,1928,"""Littleton, Covington""",,"""Yale  School of Drama, Yale Repertory Theatre""","""Performance also Feb. 22, 1928""",,,,department_of_drama,1576,2048
1,4,6,dra037-s01-b001-f004-i06-p0001,The Marriage Proposal,Mar. 3,1928,"""Chekov, Anton""",,"""Yale  School of Drama, Yale Repertory Theatre""",The Experimental Theatre Vassar College at the invitation of Yale University,,,,department_of_drama,2048,1387
1,4,6,dra037-s01-b001-f004-i06-p0002,The Marriage Proposal,Mar. 3,1928,"""Chekov, Anton""",,"""Yale  School of Drama, Yale Repertory Theatre""",The Experimental Theatre Vassar College at the invitation of Yale University,,,,department_of_drama,1488,2048
1,4,6,dra037-s01-b001-f004-i06-p0003,The Marriage Proposal,Mar. 3,1928,"""Chekov, Anton""",,"""Yale  School of Drama, Yale Repertory Theatre""",The Experimental Theatre Vassar College at the invitation of Yale University,,,,department_of_drama,2048,1409
1,4,7,dra037-s01-b001-f004-i07-p0001,Finished,Mar. 15-16,1928,"""Clugston, Katharine""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1279
1,4,7,dra037-s01-b001-f004-i07-p0002,Finished,Mar. 15-16,1928,"""Clugston, Katharine""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,1637,2048
1,5,3,dra037-s01-b001-f005-i03-p0001,Brand,May 28-29,1928,"""Ibsen, Henrik""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1315
1,5,3,dra037-s01-b001-f005-i03-p0002,Brand,May 28-29,1928,"""Ibsen, Henrik""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,1575,2048
1,6,2,dra037-s01-b001-f006-i02-p0001,Overlords,Nov. 21-22,1928,"""Jennings, Talbot""",,"""Yale  School of Drama, Yale Repertory Theatre""",A Play in Three Acts.,,,,department_of_drama,2048,1253
1,6,2,dra037-s01-b001-f006-i02-p0002,Overlords,Nov. 21-22,1928,"""Jennings, Talbot""",,"""Yale  School of Drama, Yale Repertory Theatre""",A Play in Three Acts.,,,,department_of_drama,1659,2048
1,6,3,dra037-s01-b001-f006-i03-p0001,Spring o' the Year,Jan. 22-23,1929,"""Robertson, W. H.""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1269
1,6,3,dra037-s01-b001-f006-i03-p0002,Spring o' the Year,Jan. 22-23,1929,"""Robertson, W. H.""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,1638,2048
1,6,4,dra037-s01-b001-f006-i04-p0001,Brief Candle,Mar. 15-16,1929,"""Powel, Jr., R. J. H.""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1279
1,6,4,dra037-s01-b001-f006-i04-p0002,Brief Candle,Mar. 15-16,1929,"""Powel, Jr., R. J. H.""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,1618,2048
1,6,5,dra037-s01-b001-f006-i05-p0001,Parade,Apr. 1-2,1929,"""Ryan, Elaine""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1339
1,6,5,dra037-s01-b001-f006-i05-p0002,Parade,Apr. 1-2,1929,"""Ryan, Elaine""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,1601,2048
1,6,7,dra037-s01-b001-f006-i07-p0001,Chasterlard,May 28-29,1929,"""Swinburne, Algernon Charles""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1329
1,6,7,dra037-s01-b001-f006-i07-p0002,Chasterlard,May 28-29,1929,"""Swinburne, Algernon Charles""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,1563,2048
1,7,1,dra037-s01-b001-f007-i01-p0001,She Stoops to Compromise,Nov. 4-6,1929,J. Wong-Quincey,,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1270
1,7,1,dra037-s01-b001-f007-i01-p0002,She Stoops to Compromise,Nov. 4-6,1929,J. Wong-Quincey,,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,1641,2048
1,7,2,dra037-s01-b001-f007-i02-p0001,No More Frontier,Dec. 17-18,1929,"""Jennings, Talbot""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,949
1,7,2,dra037-s01-b001-f007-i02-p0002,No More Frontier,Dec. 17-18,1929,"""Jennings, Talbot""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,837,2048
1,7,3,dra037-s01-b001-f007-i03-p0001,No More Frontier,Feb. 22,1930,"""Jennings, Talbot""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1216
1,7,4,dra037-s01-b001-f007-i04-p0001,The Searcher,Mar. 20-22,1930,"""Pilcher, Velona""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1493
1,7,4,dra037-s01-b001-f007-i04-p0002,The Searcher,Mar. 20-22,1930,"""Pilcher, Velona""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,1400,2048
1,7,6,dra037-s01-b001-f007-i06-p0001,Saint's Parade,May 26-27,1930,"""Cook, G. Whitfield""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1077
1,8,1,dra037-s01-b001-f008-i01-p0001,Saint's Parade,Oct. 31-Nov. 1,1930,"""Cook, G. Whitfield""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1069
1,8,2,dra037-s01-b001-f008-i02-p0001,Steel,Dec. 16-17,1930,"""Igo, Harold""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1360
1,8,2,dra037-s01-b001-f008-i02-p0002,Steel,Dec. 16-17,1930,"""Igo, Harold""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,1544,2048
1,8,3,dra037-s01-b001-f008-i03-p0001,Lottie Gathers No Moss,Feb. 19-20,1931,"""Wilmurt, Arthur""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,943
1,8,4,dra037-s01-b001-f008-i04-p0001,The Winter's Tale,Mar. 30-31,1931,William Shakespeare,,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,1672,2048
1,8,4,dra037-s01-b001-f008-i04-p0002,The Winter's Tale,Mar. 30-31,1931,William Shakespeare,,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,832,2048
1,8,5,dra037-s01-b001-f008-i05-p0001,The Winter's Tale,Apr. 13 & Apr. 17,1931,William Shakespeare,,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,1644,2048
1,8,5,dra037-s01-b001-f008-i05-p0002,The Winter's Tale,Apr. 13 & Apr. 17,1931,William Shakespeare,,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,819,2048
1,8,6,dra037-s01-b001-f008-i06-p0001,The People on the Hill,May 28-29,1931,"""Liljencrantz, Torvald""",,"""Yale  School of Drama, Yale Repertory Theatre""",A play in seven scenes.,,,,department_of_drama,2048,1360
1,8,6,dra037-s01-b001-f008-i06-p0002,The People on the Hill,May 28-29,1931,"""Liljencrantz, Torvald""",,"""Yale  School of Drama, Yale Repertory Theatre""",A play in seven scenes.,,,,department_of_drama,1538,2048
1,9,2,dra037-s01-b001-f009-i02-p0001,Mary Tudor,Feb. 22,1932,Victor Hugo,,"""Yale  School of Drama, Yale Repertory Theatre""",Translated by George Burhnam Ives.,,,,department_of_drama,2048,987
1,9,4,dra037-s01-b001-f009-i04-p0001,American Wing,Mar. 23-24,1932,"""Jennings, Talbot""",,"""Yale  School of Drama, Yale Repertory Theatre""",Produced By George Pierce Baker.,,,,department_of_drama,2048,1124
1,9,7,dra037-s01-b001-f009-i07-p0001,The King's Coat,Dec. 16-17,1932,"""Kleibacker, Jr., Fred R.""",,"""Yale  School of Drama, Yale Repertory Theatre""",Produced By George Pierce Baker.,,,,department_of_drama,2048,774
1,9,8,dra037-s01-b001-f009-i08-p0001,Passee,Feb. 20-21,1933,"""Morgan, Marion""",,"""Yale  School of Drama, Yale Repertory Theatre""",Produced by Alexander Dean. ,,,GPB,george_pierce_baker,2048,928
1,9,9,dra037-s01-b001-f009-i09-p0001,A Demonstration of Stage Lighting,Mar. 27-28,1933,,,"""Yale  School of Drama, Yale Repertory Theatre""",,,,GPB,george_pierce_baker,2048,1066
1,10,1,dra037-s01-b001-f010-i01-p0001,The Wedding,Oct. 25,1933,,,,Translated from the Polish of Stanislas Wyspianski by Florjan Sobieniswski and E. H. G. Pearson. Adapted and produced by Frederick Burleigh.,,,Nicoll,allardyce_nicoll,2048,1579
1,10,2,dra037-s01-b001-f010-i02-p0001,Venice Preserved; or A Plot Discovered,Dec. 18-20,1933,"""Otway, Thomas""",Alexander Dean,"""Yale  School of Drama, Yale Repertory Theatre""",,,,Nicoll,allardyce_nicoll,2048,1348
1,10,2,dra037-s01-b001-f010-i02-p0002,Venice Preserved; or A Plot Discovered,Dec. 18-20,1933,"""Otway, Thomas""",Alexander Dean,"""Yale  School of Drama, Yale Repertory Theatre""",,,,Nicoll,allardyce_nicoll,1547,2048
1,10,2,dra037-s01-b001-f010-i02-p0003,Venice Preserved; or A Plot Discovered,Dec. 18-20,1933,"""Otway, Thomas""",Alexander Dean,"""Yale  School of Drama, Yale Repertory Theatre""",,,,Nicoll,allardyce_nicoll,2048,1336
1,10,3,dra037-s01-b001-f010-i03-p0001,The God Innis,Feb. 20-21,1934,"""Williams, Helen Rovene|Dowell, George Brenden""",Alexander Dean,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1252
1,10,3,dra037-s01-b001-f010-i03-p0002,The God Innis,Feb. 20-21,1934,"""Williams, Helen Rovene|Dowell, George Brenden""",Alexander Dean,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,1642,2048
1,10,3,dra037-s01-b001-f010-i03-p0003,The God Innis,Feb. 20-21,1934,"""Williams, Helen Rovene|Dowell, George Brenden""",Alexander Dean,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1280
1,10,4,dra037-s01-b001-f010-i04-p0001,Names in Bronze,Apr. 18-20,1934,"""Reveaux, Edward""",Constance Welch and Chalers Monroe,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1345
1,10,4,dra037-s01-b001-f010-i04-p0002,Names in Bronze,Apr. 18-20,1934,"""Reveaux, Edward""",Constance Welch and Chalers Monroe,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,1546,2048
1,10,4,dra037-s01-b001-f010-i04-p0003,Names in Bronze,Apr. 18-20,1934,"""Reveaux, Edward""",Constance Welch and Chalers Monroe,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1370
1,10,6,dra037-s01-b001-f010-i06-p0001,Beware of the Bull,May 29-31,1933,"""Powel, Robert Hare""",,"""Yale  School of Drama, Yale Repertory Theatre""",Produced by Alexander Dean.,,,,department_of_drama,2048,1490
1,11,1,dra037-s01-b001-f011-i01-p0001,Taken From Life,Nov. 1-2,1934,"""Zimmerman, Armand L.""",,"""Yale  School of Drama, Yale Repertory Theatre""",Produced by Alexander Dean.,,,,department_of_drama,2048,1367
1,11,1,dra037-s01-b001-f011-i01-p0002,Taken From Life,Nov. 1-2,1934,"""Zimmerman, Armand L.""",,"""Yale  School of Drama, Yale Repertory Theatre""",Produced by Alexander Dean.,,,,department_of_drama,1521,2048
1,11,1,dra037-s01-b001-f011-i01-p0003,Taken From Life,Nov. 1-2,1934,"""Zimmerman, Armand L.""",,"""Yale  School of Drama, Yale Repertory Theatre""",Produced by Alexander Dean.,,,,department_of_drama,2048,1350
1,11,2,dra037-s01-b001-f011-i02-p0001,Chanticleer,Dec. 14,1934,"""Rostand, Edmond""",,"""Yale  School of Drama, Yale Repertory Theatre""",Produced by Alexander Dean.  The ninth Annual Faculty production.,,,,department_of_drama,2048,1302
1,11,2,dra037-s01-b001-f011-i02-p0002,Chanticleer,Dec. 14,1934,"""Rostand, Edmond""",,"""Yale  School of Drama, Yale Repertory Theatre""",Produced by Alexander Dean.  The ninth Annual Faculty production.,,,,department_of_drama,1564,2048
1,11,2,dra037-s01-b001-f011-i02-p0003,Chanticleer,Dec. 14,1934,"""Rostand, Edmond""",,"""Yale  School of Drama, Yale Repertory Theatre""",Produced by Alexander Dean.  The ninth Annual Faculty production.,,,,department_of_drama,2048,1329
1,11,3,dra037-s01-b001-f011-i03-p0001,Chanticleer,Dec. 11-12 & Dec. 14,1934,"""Rostand, Edmond""",,"""Yale  School of Drama, Yale Repertory Theatre""",Produced by Alexander Dean. ,,,,department_of_drama,2048,1036
1,11,3,dra037-s01-b001-f011-i03-p0002,Chanticleer,Dec. 11-12 & Dec. 14,1934,"""Rostand, Edmond""",,"""Yale  School of Drama, Yale Repertory Theatre""",Produced by Alexander Dean. ,,,,department_of_drama,1983,2048
1,11,3,dra037-s01-b001-f011-i03-p0003,Chanticleer,Dec. 11-12 & Dec. 14,1934,"""Rostand, Edmond""",,"""Yale  School of Drama, Yale Repertory Theatre""",Produced by Alexander Dean. ,,,,department_of_drama,2048,1048
1,11,4,dra037-s01-b001-f011-i04-p0001,This Fallow Ground,Feb. 20-21,1935,"""Sundgaard, Arnold""",,"""Yale  School of Drama, Yale Repertory Theatre""",Produced by Alexander Dean. ,,,,department_of_drama,2048,1356
1,11,4,dra037-s01-b001-f011-i04-p0002,This Fallow Ground,Feb. 20-21,1935,"""Sundgaard, Arnold""",,"""Yale  School of Drama, Yale Repertory Theatre""",Produced by Alexander Dean. ,,,,department_of_drama,1529,2048
1,11,4,dra037-s01-b001-f011-i04-p0003,This Fallow Ground,Feb. 20-21,1935,"""Sundgaard, Arnold""",,"""Yale  School of Drama, Yale Repertory Theatre""",Produced by Alexander Dean. ,,,,department_of_drama,1103,2048
1,11,4,dra037-s01-b001-f011-i04-p0004,This Fallow Ground,Feb. 20-21,1935,"""Sundgaard, Arnold""",,"""Yale  School of Drama, Yale Repertory Theatre""",Produced by Alexander Dean. ,,,,department_of_drama,2048,1389
1,12,1,dra037-s01-b001-f012-i01-p0001,One Shall Be,Oct. 31-Nov. 1,1935,"""Kennett, Luther Martin""",Alexander Dean and Constance Welch,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1356
1,12,1,dra037-s01-b001-f012-i01-p0002,One Shall Be,Oct. 31-Nov. 1,1935,"""Kennett, Luther Martin""",Alexander Dean and Constance Welch,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,1539,2048
1,12,2,dra037-s01-b001-f012-i02-p0001,Murder in the Cathedral,Dec. 20,1935,"""Eliot, T. S.""",Alan Merritt Fishburn,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1352
1,12,2,dra037-s01-b001-f012-i02-p0002,Murder in the Cathedral,Dec. 20,1935,"""Eliot, T. S.""",Alan Merritt Fishburn,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,1539,2048
