Box	Folder	Item	Accession number	Title	Play dates	Year	Written by	Directed by	Company	Notes	Multiplay	Non-Theatrical	Era
1	1	1	dra037-s01-b001-f001-i01-p0001	Celeste; Incense	Oct 28-29	1925	"Gaskill, Helen| Flanagan, Hallie F."		Yale School of Drama	The Workshop	y		department_of_drama
1	1	2	dra037-s01-b001-f001-i02-p0001	The Patriarch	Feb. 12	1926	"Smith, Boyd M."		Yale School of Drama	The 47 Workshop 			department_of_drama
1	1	2	dra037-s01-b001-f001-i02-p0002	The Patriarch	Feb. 12	1926	"Smith, Boyd M."		Yale School of Drama	The 47 Workshop 			department_of_drama
1	1	2	dra037-s01-b001-f001-i02-p0003	The Patriarch	Feb. 12	1926	"Smith, Boyd M."		Yale School of Drama	The 47 Workshop 			department_of_drama
1	1	3	dra037-s01-b001-f001-i03-p0001	The Fall of the House of Usher|When Shall We Three Meet Again?	Mar. 3-4	1926	"Day, Frederic L.|Knight, Raymond"		Yale School of Drama	The 47 Workshop 	y		department_of_drama
1	1	3	dra037-s01-b001-f001-i03-p0002	The Fall of the House of Usher|When Shall We Three Meet Again?	Mar. 3-4	1926	"Day, Frederic L.|Knight, Raymond"		Yale School of Drama	The 47 Workshop 	y		department_of_drama
1	1	3	dra037-s01-b001-f001-i03-p0003	The Fall of the House of Usher|When Shall We Three Meet Again?	Mar. 3-4	1926	"Day, Frederic L.|Knight, Raymond"		Yale School of Drama	The 47 Workshop 	y		department_of_drama
1	1	4	dra037-s01-b001-f001-i04-p0001	Three One-Act Plays: The Way Things Happen|Immersion|Yellow	Apr. 14-16	1926	"Phillips, Howard L.|Humphrey, Maude|MsGuire, Harry"		Yale School of Drama	The 47 Workshop 	y		department_of_drama
1	1	4	dra037-s01-b001-f001-i04-p0002	Three One-Act Plays: The Way Things Happen|Immersion|Yellow	Apr. 14-16	1926	"Phillips, Howard L.|Humphrey, Maude|MsGuire, Harry"		Yale School of Drama	The 47 Workshop 	y		department_of_drama
1	1	4	dra037-s01-b001-f001-i04-p0003	Three One-Act Plays: The Way Things Happen|Immersion|Yellow	Apr. 14-16	1926	"Phillips, Howard L.|Humphrey, Maude|MsGuire, Harry"		Yale School of Drama	The 47 Workshop 	y		department_of_drama
1	1	5	dra037-s01-b001-f001-i05-p0001	The Best Cellar	May 24-28	1926	"Williams, Claire"		Yale School of Drama	The 47 Workshop 			department_of_drama
1	1	5	dra037-s01-b001-f001-i05-p0002	The Best Cellar	May 24-28	1926	"Williams, Claire"		Yale School of Drama	The 47 Workshop 			department_of_drama
1	2	1	dra037-s01-b001-f002-i01-p0001	Plots and Playwrights	Oct. 26-29	1926	"Massey, Edward"		Yale School of Drama				department_of_drama
