file_path,thumbnail,width,height,page_no,set_key,year,written_by,director,location
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f009-i08-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f009-i08-p0001.jpg,928,2048,1,george_pierce_baker,1933,"Morgan, Marion",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f009-i09-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f009-i09-p0001.jpg,1066,2048,1,george_pierce_baker,1933,,,"Yale School of Drama, Yale Repertory Theatre"
